File,NumCameras,CostFuncType,OldBestCost,NewResCost,NewOccCost,NewCombCost,OldZeroPct,NewZeroPct,NewMinCov,NewAvgCov
8Cams_Run_20260424_131273.mat,8,NaN,0.011166,8.245845,7.849065,0.050149,0.00,0.00,5,7.678
7Cams_Run_20260404_103984.mat,7,NaN,2.589640,11.004492,5.182312,0.060911,0.00,0.00,5,6.478
7Cams_Run_20260418_145804.mat,7,NaN,2.589640,11.004492,5.182312,0.060911,0.00,0.00,5,6.478
7Cams_Run_20260418_155545.mat,7,NaN,2.589640,11.004492,5.182312,0.060911,0.00,0.00,5,6.478
8Cams_Run_20260410_090808.mat,8,NaN,0.012435,10.444136,11.099850,0.064834,0.00,0.00,4,7.151
8Cams_Run_20260424_114146.mat,8,NaN,0.012435,10.444136,11.099850,0.064834,0.00,0.00,4,7.151
8Cams_Run_20260424_144166.mat,8,NaN,0.012435,10.444136,11.099850,0.064834,0.00,0.00,4,7.151
7Cams_Run_20260420_012457.mat,7,NaN,0.013314,10.630533,14.391677,0.069507,0.00,0.00,5,6.801
6Cams_Run_20260416_154613.mat,6,NaN,0.008764,9.075378,25.174397,0.073984,0.00,0.00,3,5.587
8Cams_Run_20260422_120121.mat,8,NaN,1.533995,12.669350,11.130576,0.075995,0.00,0.00,4,7.288
6Cams_Run_20260416_172464.mat,6,NaN,0.008063,13.452144,8.479557,0.076897,0.00,0.00,4,5.614
7Cams_Run_20260405_211388.mat,7,NaN,0.020487,11.184050,19.153046,0.077685,0.00,0.00,4,6.796
7Cams_Run_20260503_111347.mat,7,NaN,0.018960,12.707282,13.719637,0.079127,0.00,0.00,4,6.720
8Cams_Run_20260422_050769.mat,8,NaN,2.365264,14.182222,8.020780,0.080026,0.00,0.00,5,7.274
7Cams_Run_20260502_065016.mat,7,NaN,0.028352,9.711716,29.275420,0.081826,0.00,0.00,3,6.647
7Cams_Run_20260504_145970.mat,7,NaN,0.028352,9.711716,29.275420,0.081826,0.00,0.00,3,6.647
7Cams_Run_20260405_200726.mat,7,NaN,0.021278,12.803332,16.778378,0.083083,0.00,0.00,5,6.867
